page,search_type,clicks,impressions,ctr_pct,avg_position
https://wellows.com/features/,web,0,1371,0.000,2.74
https://wellows.com/features/,image,0,6,0.000,31.50
https://wellows.com/features/,video,0,0,0.000,0.00
https://wellows.com/features/,news,0,0,0.000,0.00
https://wellows.com/features/ai-visibility-score/,web,1,528,0.189,30.05
https://wellows.com/features/ai-visibility-score/,image,0,0,0.000,0.00
https://wellows.com/features/ai-visibility-score/,video,0,0,0.000,0.00
https://wellows.com/features/ai-visibility-score/,news,0,0,0.000,0.00
https://wellows.com/features/content-optimization/,web,0,285,0.000,3.21
https://wellows.com/features/content-optimization/,image,0,0,0.000,0.00
https://wellows.com/features/content-optimization/,video,0,0,0.000,0.00
https://wellows.com/features/content-optimization/,news,0,0,0.000,0.00
https://wellows.com/features/prompt-tracking/,web,2,2322,0.086,23.99
https://wellows.com/features/prompt-tracking/,image,1,49,2.041,39.33
https://wellows.com/features/prompt-tracking/,video,0,0,0.000,0.00
https://wellows.com/features/prompt-tracking/,news,0,0,0.000,0.00
https://wellows.com/features/llm-visibility/,web,0,487,0.000,46.29
https://wellows.com/features/llm-visibility/,image,0,0,0.000,0.00
https://wellows.com/features/llm-visibility/,video,0,0,0.000,0.00
https://wellows.com/features/llm-visibility/,news,0,0,0.000,0.00
https://wellows.com/features/llm-citations/,web,0,83,0.000,21.93
https://wellows.com/features/llm-citations/,image,0,0,0.000,0.00
https://wellows.com/features/llm-citations/,video,0,0,0.000,0.00
https://wellows.com/features/llm-citations/,news,0,0,0.000,0.00
https://wellows.com/features/performance-history/,web,0,30,0.000,10.93
https://wellows.com/features/performance-history/,image,0,0,0.000,0.00
https://wellows.com/features/performance-history/,video,0,0,0.000,0.00
https://wellows.com/features/performance-history/,news,0,0,0.000,0.00
