page,dimension,key,clicks,impressions,ctr_pct,avg_position
https://wellows.com/features/,query,is there a platform that measures brand visibility across chatgpt and perplexity simultaneously?,0,2,0.000,37.00
https://wellows.com/features/,query,kiva seo,0,2,0.000,69.00
https://wellows.com/features/,query,monitor ai visibility or citations chatgpt gemini perplexity tools,0,1,0.000,47.00
https://wellows.com/features/,query,searchable perplexity visibility free trial,0,1,0.000,1.00
https://wellows.com/features/,query,site:allaboutai.com,0,1,0.000,18.00
https://wellows.com/features/,query,site:https://wellows.com,0,6,0.000,6.00
https://wellows.com/features/,query,site:wellows.com,0,217,0.000,6.65
https://wellows.com/features/,query,vaylis ai,0,1,0.000,2.00
https://wellows.com/features/,query,wellows,0,872,0.000,1.01
https://wellows.com/features/,query,wellows ai,0,54,0.000,1.00
https://wellows.com/features/,query,wellows ai visibility,0,2,0.000,1.00
https://wellows.com/features/,query,wellows ai visibility platform,0,9,0.000,9.33
https://wellows.com/features/,query,wellows vs brandlight,0,1,0.000,1.00
https://wellows.com/features/,query,wellows.com,0,16,0.000,1.50
https://wellows.com/features/,query,what are the best ai visibility tools,0,1,0.000,1.00
https://wellows.com/features/,country,are,0,10,0.000,1.60
https://wellows.com/features/,country,aus,0,12,0.000,1.75
https://wellows.com/features/,country,aut,0,1,0.000,1.00
https://wellows.com/features/,country,bel,0,1,0.000,1.00
https://wellows.com/features/,country,bgd,0,4,0.000,5.25
https://wellows.com/features/,country,bra,0,2,0.000,1.00
https://wellows.com/features/,country,brb,0,1,0.000,7.00
https://wellows.com/features/,country,can,0,17,0.000,3.29
https://wellows.com/features/,country,che,0,3,0.000,1.00
https://wellows.com/features/,country,chn,0,8,0.000,5.50
https://wellows.com/features/,country,civ,0,1,0.000,7.00
https://wellows.com/features/,country,cze,0,2,0.000,1.00
https://wellows.com/features/,country,deu,0,82,0.000,1.15
https://wellows.com/features/,country,dnk,0,1,0.000,1.00
https://wellows.com/features/,country,dza,0,1,0.000,1.00
https://wellows.com/features/,country,ecu,0,1,0.000,7.00
https://wellows.com/features/,country,egy,0,7,0.000,1.00
https://wellows.com/features/,country,esp,0,2,0.000,1.00
https://wellows.com/features/,country,fin,0,1,0.000,1.00
https://wellows.com/features/,country,fra,0,2,0.000,1.00
https://wellows.com/features/,country,gbr,0,66,0.000,1.23
https://wellows.com/features/,country,grc,0,2,0.000,1.00
https://wellows.com/features/,country,hkg,0,5,0.000,3.40
https://wellows.com/features/,country,idn,0,8,0.000,1.63
https://wellows.com/features/,country,ind,0,122,0.000,3.82
https://wellows.com/features/,country,irl,0,3,0.000,1.00
https://wellows.com/features/,country,isr,0,3,0.000,1.00
https://wellows.com/features/,country,ita,0,63,0.000,1.11
https://wellows.com/features/,country,jor,0,2,0.000,1.00
https://wellows.com/features/,country,jpn,0,5,0.000,1.00
https://wellows.com/features/,country,kor,0,2,0.000,1.00
https://wellows.com/features/,country,kwt,0,2,0.000,1.00
https://wellows.com/features/,country,lka,0,1,0.000,1.00
https://wellows.com/features/,country,mar,0,3,0.000,1.00
https://wellows.com/features/,country,mys,0,14,0.000,1.43
https://wellows.com/features/,country,nga,0,2,0.000,1.00
https://wellows.com/features/,country,nld,0,193,0.000,1.01
https://wellows.com/features/,country,pak,0,182,0.000,3.89
https://wellows.com/features/,country,phl,0,2,0.000,1.00
https://wellows.com/features/,country,prt,0,2,0.000,1.00
https://wellows.com/features/,country,rou,0,1,0.000,1.00
https://wellows.com/features/,country,rus,0,1,0.000,1.00
https://wellows.com/features/,country,sau,0,1,0.000,1.00
https://wellows.com/features/,country,sgp,0,8,0.000,4.25
https://wellows.com/features/,country,svn,0,1,0.000,1.00
https://wellows.com/features/,country,syr,0,2,0.000,1.00
https://wellows.com/features/,country,tur,0,2,0.000,1.00
https://wellows.com/features/,country,twn,0,1,0.000,1.00
https://wellows.com/features/,country,usa,0,318,0.000,2.62
https://wellows.com/features/,country,vnm,0,7,0.000,4.43
https://wellows.com/features/,country,xkk,0,1,0.000,1.00
https://wellows.com/features/,country,zaf,0,2,0.000,1.00
https://wellows.com/features/,device,DESKTOP,0,1083,0.000,2.45
https://wellows.com/features/,device,MOBILE,0,103,0.000,1.45
https://wellows.com/features/ai-visibility-score/,query,ai citation score,1,1,100.000,1.00
https://wellows.com/features/ai-visibility-score/,query,ai brand visibility checker,0,1,0.000,36.00
https://wellows.com/features/ai-visibility-score/,query,ai discoverability score,0,1,0.000,63.00
https://wellows.com/features/ai-visibility-score/,query,ai presence score,0,60,0.000,24.53
https://wellows.com/features/ai-visibility-score/,query,ai search visibility score,0,61,0.000,36.72
https://wellows.com/features/ai-visibility-score/,query,ai visibility score,0,123,0.000,34.46
https://wellows.com/features/ai-visibility-score/,query,ai visibility score branded,0,3,0.000,31.67
https://wellows.com/features/ai-visibility-score/,query,ai visibility score definition,0,3,0.000,38.33
https://wellows.com/features/ai-visibility-score/,query,ai visibility score definition metrics,0,1,0.000,57.00
https://wellows.com/features/ai-visibility-score/,query,ai visibility score for contractors,0,1,0.000,56.00
https://wellows.com/features/ai-visibility-score/,query,ai visibility score influence on brand strategy,0,1,0.000,72.00
https://wellows.com/features/ai-visibility-score/,query,ai visibility scores,0,19,0.000,25.68
https://wellows.com/features/ai-visibility-score/,query,ai visibility scoring,0,10,0.000,28.30
https://wellows.com/features/ai-visibility-score/,query,ai visiblity tracking,0,3,0.000,4.67
https://wellows.com/features/ai-visibility-score/,query,ai visivility score,0,4,0.000,27.75
https://wellows.com/features/ai-visibility-score/,query,brand ai search score,0,45,0.000,43.82
https://wellows.com/features/ai-visibility-score/,query,brand visibility score,0,39,0.000,20.82
https://wellows.com/features/ai-visibility-score/,query,brand visibility score ai,0,1,0.000,42.00
https://wellows.com/features/ai-visibility-score/,query,good ai visibility score,0,7,0.000,26.29
https://wellows.com/features/ai-visibility-score/,query,llm visibility score,0,5,0.000,45.80
https://wellows.com/features/ai-visibility-score/,query,searchscore ai visibility score,0,7,0.000,21.29
https://wellows.com/features/ai-visibility-score/,query,visibility score,0,32,0.000,41.34
https://wellows.com/features/ai-visibility-score/,query,wellows ai visibility,0,1,0.000,1.00
